Numero,Mot,example sentence (facile),Corrected Sentence,Indicateur
635,get through,She finally got through the difficult exam after months of studying.,She finally got through the difficult exam after months of studying.,Non modifié
636,Go ahead with,"After reviewing the proposal, the board decided to go ahead with the new marketing campaign","After reviewing the proposal, the board decided to go ahead with the new marketing campaign",Non modifié
637,Go under,"Despite their best efforts, the company struggled financially and eventually had to go under.",The concept of Go under is widely used in various contexts.,Non modifié
638,Goal,"Achieving a 10% increase in sales by the end of the quarter is our primary goal for this year.""","Achieving a 10% increase in sales by the end of the quarter is our primary goal for this year.""",Non modifié
639,going places,"With her talent and hard work, she's definitely going places in her career.","With her talent and hard work, she's definitely going places in her career.",Non modifié
640,Goods,The store received a shipment of new goods today.,The store received a shipment of new goods today.,Non modifié
641,Gradually,The company is gradually expanding its operations into new markets.,The company is gradually expanding its operations into new markets.,Non modifié
642,Grievance,Employees should file a grievance if they have any concerns about workplace conditions,Employees should file a grievance if they have any concerns about workplace conditions,Non modifié
643,Grill,The manager will grill the candidate with detailed questions during the interview.,The manager will grill the candidate with detailed questions during the interview.,Non modifié
644,Growth,The company’s growth has been impressive over the past year,The company’s growth has been impressive over the past year,Non modifié
645,grudge,She held a grudge against him for years after the argument.,She held a grudge against him for years after the argument.,Non modifié
646,Guarantee,The product comes with a two-year guarantee for any defects,The product comes with a two-year guarantee for any defects,Non modifié
647,Guidelines,Follow the safety guidelines to ensure a safe working environment,Follow the safety guidelines to ensure a safe working environment,Non modifié
648,Haggle,Customers often haggle over prices at the local marke,Customers often haggle over prices at the local marke,Non modifié
649,Handle,She knows how to handle difficult situations with professionalism.,She knows how to handle difficult situations with professionalism.,Non modifié
650,Handy,This new tool is very handy for organizing files efficiently.,This new tool is very handy for organizing files efficiently.,Non modifié
651,Harbor,The ship docked at the harbor after a long journey.,The ship docked at the harbor after a long journey.,Non modifié
652,hard cash,They prefer to pay in hard cash rather than using credit cards.,They prefer to pay in hard cash rather than using credit cards.,Non modifié
653,hard labour,The prisoners were sentenced to hard labor for their crimes.,The prisoners were sentenced to hard labor for their crimes.,Non modifié
654,hard sell,The salesman used a hard sell approach to convince customers to buy the product.,The salesman used a hard sell approach to convince customers to buy the product.,Non modifié
655,hardship,The family endured many hardships during the war.,The family endured many hardships during the war.,Modifié
656,Harmful,nan,The concept of Harmful is widely used in various contexts.,Modifié
